Dataset,SurveyYear,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IndicatorId,IndicatorType,Value,DenominatorWeighted,DenominatorUnweighted
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_UNW,U,4148,4122,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_ANCP_W_UNW,U,2041,2010,2041
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_PUB,I,76.5,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_PUB,I,74.9,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_PUB,I,77.6,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_PRV,I,8,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_PRV,I,8.5,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_PRV,I,7.5,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_HOM,I,13.8,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_HOM,I,14.3,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_HOM,I,13.5,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_OTH,I,0.1,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_OTH,I,0.2,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_DKM,S,1.6,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_DKM,S,2.1,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_DKM,S,1.2,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_TOT,T,100,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_DHF,I,84.5,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_DHF,I,83.4,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_DHF,I,85.2,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_NUM,D,3072,2081,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_NUM,D,4992,2081,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_NUM,D,2081,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_UNW,U,3119,3072,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_UNW,U,5066,4992,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELP_C_UNW,U,2113,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_DOC,I,29.3,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_DOC,I,30,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_DOC,I,28.2,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_NRS,I,56.1,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_NRS,I,54.4,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_NRS,I,58.1,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_TBA,I,1.4,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_TBA,I,1.2,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_REL,I,9.9,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_REL,I,10.5,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_REL,I,9.7,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_NON,I,2.1,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_NON,I,1.8,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_DKM,S,1.2,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_DKM,S,1.7,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_DKM,S,0.9,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_TOT,T,100,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_SKP,I,85.5,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_SKP,I,84.4,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_SKP,I,86.4,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_CSC,I,15.4,3072,3119
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_CSC,I,15.5,4992,5066
Access_To_Healthcare_01,1998,1000,Total,Total,RH_DELA_C_CSC,I,15.1,2081,2113
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_ARI,I,21.9,2912,2958
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_ARI,I,19.3,4740,4797
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_NUM,D,2912,4740,2958
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_NUM,D,4740,4740,4797
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_UNW,U,2958,2912,4797
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_UNW,U,4797,4740,4797
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_ADV,I,81.9,637,607
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_ADV,I,78.2,913,862
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_NM2,D,637,913,607
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_NM2,D,913,913,862
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_UN2,U,607,637,862
Access_To_Healthcare_01,1998,1000,Total,Total,CH_ARIS_C_UN2,U,862,913,862
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ADV,I,62.1,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ADV,I,60.6,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ORS,I,52.7,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ORS,I,51.2,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_RHF,I,70.6,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_RHF,I,68.6,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ORT,I,83.1,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ORT,I,81,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_INC,I,56.6,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_INC,I,57.1,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ORI,I,90.2,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_ORI,I,89.1,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_NON,I,9.8,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_NON,I,10.9,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_IVS,I,0.5,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_IVS,I,0.4,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_HOM,I,87.6,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_HOM,I,86.3,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_NOT,I,0.6,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_NOT,I,0.5,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_DKM,S,0.9,508,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_DKM,S,1.7,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_NUM,D,508,627,523
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_NUM,D,627,627,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_UNW,U,523,508,634
Access_To_Healthcare_01,1998,1000,Total,Total,CH_DIAT_C_UNW,U,634,627,634
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_DOC,I,17.1,1962,1977
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_DOC,I,16.1,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NRS,I,76.8,1962,1977
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NRS,I,76.6,3036,3036
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NRS,I,77,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_OTH,I,0.6,1962,1977
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_OTH,I,0.5,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NON,I,5.5,1962,1977
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NON,I,5.7,3036,3036
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NON,I,6.5,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_TOT,T,100,1962,1977
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_SKP,I,93.9,1962,1977
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_SKP,I,93.7,3036,3036
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_SKP,I,93.1,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NUM,D,1962,1386,1977
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NUM,D,3036,1386,3036
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_NUM,D,1386,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_UNW,U,1977,1962,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_UNW,U,3036,3036,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_ANCP_W_UNW,U,1376,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_PUB,I,88.3,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_PUB,I,87.4,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_PUB,I,88.4,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_PRV,I,7.7,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_PRV,I,8.5,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_HOM,I,3.6,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_HOM,I,3.7,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_HOM,I,3.4,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_OTH,I,0.3,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_OTH,I,0.4,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_OTH,I,0.5,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_TOT,T,100,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_DHF,I,96,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_DHF,I,95.9,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_DHF,I,96.1,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_NUM,D,2091,1414,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_NUM,D,3572,1414,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_NUM,D,1414,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_UNW,U,2105,2091,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_UNW,U,3548,3572,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELP_C_UNW,U,1406,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_DOC,I,29.1,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_DOC,I,28.7,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_DOC,I,29.5,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_NRS,I,67.6,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_NRS,I,68,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_TBA,I,0.2,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_TBA,I,0.1,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_REL,I,1.6,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_REL,I,1.9,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_REL,I,1.8,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_NON,I,1.5,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_NON,I,1.2,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_NON,I,0.9,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_TOT,T,100,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_SKP,I,96.7,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_SKP,I,97.1,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_CSC,I,24.9,2091,2105
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_CSC,I,24.2,3572,3548
Access_To_Healthcare_01,2016,1000,Total,Total,RH_DELA_C_CSC,I,25.3,1414,1406
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCMP_W_DOC,I,83.2,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCMP_W_CHW,I,0.2,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCMP_W_TBA,I,0.2,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCMP_W_NON,I,16.4,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCMP_W_TOT,T,100,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCMP_W_NUM,D,1386,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCMP_W_UNW,U,1376,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCCP_C_DOC,I,86.2,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCCP_C_CHW,I,0,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCCP_C_NON,I,13.8,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCCP_C_TOT,T,100,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCCP_C_NUM,D,1386,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,RH_PCCP_C_UNW,U,1376,1386,1376
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_ARI,I,3.4,2025,2026
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_ARI,I,3.1,3444,3413
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_NUM,D,2025,3444,2026
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_NUM,D,3444,3444,3413
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_UNW,U,2026,2025,3413
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_UNW,U,3413,3444,3413
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_ADV,I,96.9,68,59
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_ADV,I,87.6,107,94
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_ABI,I,46.7,68,59
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_ABI,I,42,107,94
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_NM2,D,68,107,59
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_NM2,D,107,107,94
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_UN2,U,59,68,94
Access_To_Healthcare_01,2016,1000,Total,Total,CH_ARIS_C_UN2,U,94,107,94
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_ADV,I,66.8,422,410
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_ADV,I,68.4,679,647
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_AML,I,0.2,422,410
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_AML,I,0.5,679,647
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_ABI,I,29.2,422,410
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_ABI,I,30.3,679,647
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_NUM,D,422,679,410
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_NUM,D,679,679,647
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_UNW,U,410,422,647
Access_To_Healthcare_01,2016,1000,Total,Total,CH_FEVT_C_UNW,U,647,679,647
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ADV,I,59.2,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ADV,I,63,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ORS,I,46.5,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ORS,I,51.4,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_RHF,I,67.2,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_RHF,I,72.5,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ORT,I,75.4,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ORT,I,80.5,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ZNC,I,33.7,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ZNC,I,36.8,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_INC,I,14.6,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_INC,I,15,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ORI,I,79.2,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ORI,I,83.3,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_NON,I,20.8,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_NON,I,16.7,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ABI,I,7.2,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_ABI,I,10.6,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_AMO,I,2.4,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_AMO,I,1.8,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_IVS,I,0.2,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_IVS,I,0.6,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_INJ,I,0.5,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_INJ,I,1.1,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_HOM,I,9.1,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_HOM,I,10.3,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_NOT,I,16.2,246,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_NOT,I,12.1,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_NUM,D,246,356,256
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_NUM,D,356,356,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_UNW,U,256,246,350
Access_To_Healthcare_01,2016,1000,Total,Total,CH_DIAT_C_UNW,U,350,356,350
Child_Mortality_02,1998,13000,Five year periods,0-4,CM_ECMT_C_NNR,I,20,NA,NA
Child_Mortality_02,1998,13000,Five year periods,0-4,CM_ECMT_C_PNR,I,26,NA,NA
Child_Mortality_02,1998,13000,Five year periods,0-4,CM_ECMT_C_IMR,I,45,NA,NA
Child_Mortality_02,1998,13000,Five year periods,0-4,CM_ECMT_C_CMR,I,15,NA,NA
Child_Mortality_02,1998,13000,Five year periods,0-4,CM_ECMT_C_U5M,I,59,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_NNR,I,20,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_NNR,I,19,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_PNR,I,26,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_PNR,I,23,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_IMR,I,45,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_IMR,I,42,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_CMR,I,15,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_U5M,I,59,NA,NA
Child_Mortality_02,1998,1000,Total,Total,CM_ECMR_C_U5M,I,57,NA,NA
Child_Mortality_02,1998,10000,Total 15-49,Total 15-49,CM_PNMR_C_NSB,I,127,NA,NA
Child_Mortality_02,1998,10000,Total 15-49,Total 15-49,CM_PNMR_C_NEN,I,66,NA,NA
Child_Mortality_02,1998,10000,Total 15-49,Total 15-49,CM_PNMR_C_PMR,I,38,NA,NA
Child_Mortality_02,1998,10000,Total 15-49,Total 15-49,CM_PNMR_C_NUM,D,5119,NA,NA
Child_Mortality_02,1998,10000,Total 15-49,Total 15-49,CM_PNMR_C_UNW,U,5183,NA,NA
Child_Mortality_02,2016,13000,Five year periods,0-4,CM_ECMT_C_NNR,I,21,NA,NA
Child_Mortality_02,2016,13000,Five year periods,0-4,CM_ECMT_C_PNR,I,14,NA,NA
Child_Mortality_02,2016,13000,Five year periods,0-4,CM_ECMT_C_IMR,I,35,NA,NA
Child_Mortality_02,2016,13000,Five year periods,0-4,CM_ECMT_C_CMR,I,7,NA,NA
Child_Mortality_02,2016,13000,Five year periods,0-4,CM_ECMT_C_U5M,I,42,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_NNR,I,21,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_NNR,I,25,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_PNR,I,14,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_PNR,I,18,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_IMR,I,35,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_IMR,I,43,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_CMR,I,7,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_CMR,I,8,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_U5M,I,42,NA,NA
Child_Mortality_02,2016,1000,Total,Total,CM_ECMR_C_U5M,I,51,NA,NA
Child_Mortality_02,2016,10000,Total 15-49,Total 15-49,CM_PNMR_C_NSB,I,37,NA,NA
Child_Mortality_02,2016,10000,Total 15-49,Total 15-49,CM_PNMR_C_NEN,I,66,NA,NA
Child_Mortality_02,2016,10000,Total 15-49,Total 15-49,CM_PNMR_C_PMR,I,29,NA,NA
Child_Mortality_02,2016,10000,Total 15-49,Total 15-49,CM_PNMR_C_NUM,D,3577,NA,NA
Child_Mortality_02,2016,10000,Total 15-49,Total 15-49,CM_PNMR_C_UNW,U,3563,NA,NA
Immunization_04,1998,268002,Source of vaccination information,Either source,CH_VACS_C_BCG,I,96.8,973,971
Immunization_04,1998,268002,Source of vaccination information,Either source,CH_VACS_C_BCG,I,94.9,933,951
